review,label
Produk ini sangat melembapkan dan membuat kulit terasa sehat.,Positive
Teksturnya ringan dan cepat meresap tanpa rasa lengket.,Positive
Setelah pemakaian rutin kulit terlihat lebih cerah dan halus.,Positive
Aman untuk kulit sensitif dan tidak menimbulkan iritasi.,Positive
Hasilnya memuaskan dan sesuai dengan klaim produk.,Positive
Produk ini menyebabkan kulit saya beruntusan.,Negative
Terasa perih dan membuat kulit menjadi kemerahan.,Negative
Tidak memberikan efek apa pun meskipun sudah dipakai lama.,Negative
Teksturnya terlalu berat dan membuat wajah berminyak.,Negative
Produk ini justru memperparah jerawat saya.,Negative
